City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Alice,US,81.32,few clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
3,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,ibis Balikpapan
4,Aswan,EG,96.1,clear sky,24.0934,32.907,Nuba Nile
6,Viransehir,TR,79.54,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
7,Lebu,CL,51.67,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
9,Pelym,RU,57.43,broken clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
10,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
12,Arraial Do Cabo,BR,64.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
13,Rabo De Peixe,PT,67.51,broken clouds,37.8,-25.5833,Quinta das Giestas
14,Hilo,US,85.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
15,Fort Nelson,CA,67.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
16,Jamestown,US,69.44,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Divnomorskoye,RU,77.09,broken clouds,44.5011,38.1353,Primorskiy
20,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
21,Pyapon,MM,78.67,moderate rain,16.2833,95.6833,Aung Naing Thu Motel
22,Progreso,MX,83.48,clear sky,21.2833,-89.6667,Playa Linda Hotel
23,Saint Anthony,US,84.09,haze,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
24,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Gavojdia,RO,65.35,scattered clouds,45.6167,22.0167,Restaurant Pensiune RosRoca
26,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Fortuna,US,80.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
28,Calama,CL,64.89,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
29,Grindavik,IS,55.35,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
30,Airai,TL,65.25,scattered clouds,-8.9266,125.4092,Juvinal Martin
32,Mayo,US,84.61,haze,38.8876,-76.5119,Resorts Resource Group International
33,Gizo,SB,82.11,light rain,-8.103,156.8419,Imagination Island
34,Rikitea,PF,72.7,few clouds,-23.1203,-134.9692,People ThankYou
35,Carnarvon,AU,53.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
36,East London,ZA,51.28,broken clouds,-33.0153,27.9116,Tu Casa
37,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
41,Victoria,HK,85.24,overcast clouds,22.2855,114.1577,Mini Hotel Central
42,Bethel,US,76.01,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
43,Mahebourg,MU,68.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
