,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Port Lincoln,AU,-34.7333,135.8667,47.77,82,100,18.1,moderate rain
1,Katangli,RU,51.7102,143.2326,71.53,74,53,8.19,broken clouds
2,Alice,US,27.7523,-98.0697,81.32,78,20,6.91,few clouds
3,Balikpapan,ID,-1.2675,116.8289,76.19,88,40,2.3,scattered clouds
4,Aswan,EG,24.0934,32.907,96.1,15,0,12.66,clear sky
5,Busselton,AU,-33.65,115.3333,48.04,74,67,6.87,broken clouds
6,Viransehir,TR,37.2353,39.7631,79.54,53,0,4.32,clear sky
7,Lebu,CL,-37.6167,-73.65,51.67,94,100,4.09,overcast clouds
8,Srednekolymsk,RU,67.45,153.6833,63.61,60,88,4.59,overcast clouds
9,Pelym,RU,61.0108,61.9978,57.43,77,64,4.23,broken clouds
10,Kahului,US,20.8947,-156.47,85.26,73,40,20.71,scattered clouds
11,Bluff,NZ,-46.6,168.3333,46.8,63,77,10.4,broken clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,64.26,82,0,3.44,clear sky
13,Rabo De Peixe,PT,37.8,-25.5833,67.51,73,75,2.3,broken clouds
14,Hilo,US,19.7297,-155.09,85.28,79,90,13.8,light rain
15,Fort Nelson,CA,58.8053,-122.7002,67.59,64,75,3.44,broken clouds
16,Jamestown,US,42.097,-79.2353,69.44,52,1,4.61,clear sky
17,Kapaa,US,22.0752,-159.319,84.18,86,75,1.01,moderate rain
18,Divnomorskoye,RU,44.5011,38.1353,77.09,81,56,3.51,broken clouds
19,Macusani,PE,-14.0833,-70.4333,33.8,86,71,4.05,light rain
20,Quatre Cocos,MU,-20.2078,57.7625,68.11,69,80,16.84,light rain
21,Pyapon,MM,16.2833,95.6833,78.67,89,100,13.2,moderate rain
22,Progreso,MX,21.2833,-89.6667,83.48,78,10,17.6,clear sky
23,Saint Anthony,US,45.0205,-93.218,84.09,68,20,4.0,haze
24,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,60,12.1,broken clouds
25,Gavojdia,RO,45.6167,22.0167,65.35,91,36,2.17,scattered clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,72.55,93,98,8.99,overcast clouds
