City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2021-07-11 22:46:49,59.7035,30.7861,67.89,86,2,4.47
1,Itoman,JP,2021-07-11 22:46:50,26.1247,127.6694,84.22,86,75,3.44
2,Tutoia,BR,2021-07-11 22:46:50,-2.7619,-42.2744,79.93,81,92,11.68
3,Gravdal,NO,2021-07-11 22:46:50,68.1214,13.5031,55.76,98,100,14.36
4,Cururupu,BR,2021-07-11 22:46:51,-1.8283,-44.8683,74.05,97,78,2.86
5,Vestmannaeyjar,IS,2021-07-11 22:46:51,63.4427,-20.2734,52.93,90,11,9.6
6,Tecoanapa,MX,2021-07-11 22:46:51,16.5167,-98.75,86.63,65,90,9.06
7,Sao Filipe,CV,2021-07-11 22:46:51,14.8961,-24.4956,72.39,75,59,6.06
8,Amahai,ID,2021-07-11 22:46:52,-3.3333,128.9167,77.27,91,97,2.15
9,Butaritari,KI,2021-07-11 22:46:52,3.0707,172.7902,82.6,75,76,11.41
10,Taunggyi,MM,2021-07-11 22:46:52,20.7833,97.0333,62.67,96,68,2.35
11,Dikson,RU,2021-07-11 22:46:53,73.5069,80.5464,33.42,99,100,16.69
12,Provideniya,RU,2021-07-11 22:46:53,64.3833,-173.3,51.91,66,0,8.95
13,Bredasdorp,ZA,2021-07-11 22:46:53,-34.5322,20.0403,45.72,81,34,8.05
14,Den Helder,NL,2021-07-11 22:46:53,52.9599,4.7593,64.02,95,90,1.99
15,Huaiyuan,CN,2021-07-11 22:46:54,32.973,117.1995,82.6,76,94,12.28
16,Gigmoto,PH,2021-07-11 22:46:54,13.7796,124.39,83.17,84,100,7.65
17,Ribeira Grande,PT,2021-07-11 22:46:54,38.5167,-28.7,67.64,72,100,16.02
18,Bubaque,GW,2021-07-11 22:46:54,11.2833,-15.8333,80.01,81,100,13.02
19,Hay River,CA,2021-07-11 22:45:15,60.8156,-115.7999,75.18,50,75,13.8
20,Port Hedland,AU,2021-07-11 22:46:55,-20.3167,118.5667,60.85,82,72,4.61
21,Sola,VU,2021-07-11 22:46:55,-13.8833,167.55,79.47,89,90,0.0
22,Tigil,RU,2021-07-11 22:46:55,57.8,158.6667,67.3,68,63,4.85
23,Itarema,BR,2021-07-11 22:46:56,-2.9248,-39.9167,79.27,78,59,14.81
24,Tuktoyaktuk,CA,2021-07-11 22:46:56,69.4541,-133.0374,48.2,87,90,20.71
25,Caravelas,BR,2021-07-11 22:46:56,-17.7125,-39.2481,69.57,84,0,6.11
26,Am Timan,TD,2021-07-11 22:46:56,11.0297,20.2827,73.94,88,93,8.75
27,Busselton,AU,2021-07-11 22:46:57,-33.65,115.3333,56.05,93,100,20.89
28,Rocha,UY,2021-07-11 22:46:57,-34.4833,-54.3333,45.91,65,6,5.84
29,Port Elizabeth,ZA,2021-07-11 22:46:57,-33.918,25.5701,44.89,76,0,4.61
30,Atuona,PF,2021-07-11 22:46:58,-9.8,-139.0333,77.23,79,45,24.11
31,Sorong,ID,2021-07-11 22:46:58,-0.8833,131.25,80.01,85,93,5.91
32,Mataura,NZ,2021-07-11 22:46:58,-46.1927,168.8643,39.76,82,100,3.04
33,Broome,US,2021-07-11 22:46:58,42.2506,-75.833,67.84,89,100,1.01
34,Saskylakh,RU,2021-07-11 22:46:59,71.9167,114.0833,48.96,43,42,15.48
35,Barrow,US,2021-07-11 22:46:59,71.2906,-156.7887,33.82,70,90,10.36
36,Genc,TR,2021-07-11 22:46:59,38.7507,40.5603,71.64,34,0,3.44
37,Jamestown,US,2021-07-11 22:45:17,42.097,-79.2353,69.39,97,90,5.99
38,Baie-Comeau,CA,2021-07-11 22:47:00,49.2168,-68.1489,64.08,77,40,4.61
39,Cockburn Town,TC,2021-07-11 22:47:00,21.4612,-71.1419,82.36,65,40,17.27
40,Rikitea,PF,2021-07-11 22:47:00,-23.1203,-134.9692,73.71,82,44,21.63
41,Severo-Kurilsk,RU,2021-07-11 22:47:00,50.6789,156.125,53.83,91,100,7.25
42,Russell,US,2021-07-11 22:45:15,32.3502,-85.1999,81.55,69,75,5.75
43,Aonla,IN,2021-07-11 22:47:01,28.2833,79.15,80.91,77,100,11.63
44,Faya,SA,2021-07-11 22:47:01,18.3851,42.4509,71.71,47,90,3.06
45,Hofn,IS,2021-07-11 22:47:01,64.2539,-15.2082,52.65,89,11,9.84
46,Hamilton,US,2021-07-11 22:42:36,39.1834,-84.5333,82.24,78,40,1.01
47,Panaba,MX,2021-07-11 22:47:02,21.2833,-88.2667,91.18,45,100,18.59
48,Bluff,NZ,2021-07-11 22:47:02,-46.6,168.3333,44.71,84,100,17.13
49,Yanam,IN,2021-07-11 22:47:02,16.7333,82.2167,78.1,89,100,2.89
50,Midland,US,2021-07-11 22:46:48,31.9974,-102.0779,85.48,55,1,4.61
